"MULTILINESTRING ((-73.9213819581569 40.64871650868498, -73.92118191037429 40.646855856216))",8
"MULTILINESTRING ((-74.0841953178958 40.610649241469964, -74.08494203392704 40.6098930015582))",1
"MULTILINESTRING ((-73.85884636266412 40.572596827161526, -73.85938027848674 40.57351538749592))",2
"MULTILINESTRING ((-73.95325055309684 40.76753554928112, -73.95134013546593 40.76670981544101, -73.9512772138921 40.76671815474866, -73.95120695918101 40.766713199258426, -73.95113707073344 40.766691962725965, -73.95107723868469 40.76665512489809, -73.95103538116565 40.766607551087155, -73.95101440737893 40.766556339609316, -73.95101388259704 40.76654546143829))",11
"MULTILINESTRING ((-73.97688861212478 40.63567486152578, -73.97596212280583 40.63577881651919))",1
"MULTILINESTRING ((-74.21409806768868 40.52409719456539, -74.21567230421208 40.523957628361046))",5
"MULTILINESTRING ((-73.9583419202339 40.76136331545021, -73.95790133695364 40.76118089671778))",7
"MULTILINESTRING ((-73.9158586159187 40.60666172489143, -73.9152496523306 40.606110860581595))",2
"MULTILINESTRING ((-73.9011825101211 40.86418291981486, -73.89980154034934 40.86599873743988))",1
"MULTILINESTRING ((-73.91551523934298 40.82470705968456, -73.9138400031572 40.824187990301105))",12
"MULTILINESTRING ((-73.92399509735564 40.84113204841537, -73.92484861140709 40.841495443359975))",9
"MULTILINESTRING ((-73.89320005033812 40.82400818200356, -73.89294687011233 40.824139311592155))",1
"MULTILINESTRING ((-73.95097754543816 40.7240973808352, -73.95164632252364 40.723485857483986))",1
"MULTILINESTRING ((-73.95460912863025 40.73232426131217, -73.95210206643104 40.73256267305497))",6
"MULTILINESTRING ((-73.87361405773038 40.68117394037835, -73.87254899422953 40.68148100285949))",1
"MULTILINESTRING ((-73.86918329431083 40.82729743481634, -73.86863613597441 40.82737041127274, -73.86858073226546 40.82737780063263, -73.86822341676469 40.827425455092815))",1
"MULTILINESTRING ((-74.15523420735272 40.58701865011583, -74.15822976992926 40.58871708694997))",1
"MULTILINESTRING ((-73.97534263564368 40.74127467967218, -73.97317621022984 40.740359928735124))",3
